Column1,Customer,Furnace,Concatenated Reference,Address Line 1,Address Line 2,Address Line 3,Form Number:,Calibration Method,Tolerance Source,Item,Model Number,Serial Number,Unit Number,Class,Range,Tolerance,Heating Method,Working Zone Size,Cubic Feet,Cal. Interval,Controller,Cont S/N,Cont Tol.,Recorder,Rec S/N,Rec Tol.,Furnace Specific Comments,Test Location,Oven Location,Condition,PB,Intergral,Derivative,Other 1,Other 2,Fine Print,Check Rec,Load,Lag Limit,Recovery Limit,Furnace Lookup,,,,Customer,Address Line 1,Address Line 2,Address Line 3,Form Number,Calibration Method,Tolerance Source,Item,Model Number,Serial Number,Unit Number,Class,Range,Tolerance,Heating Method,Working Zone Size,Cubic Feet,Cal. Interval,Controller,Cont S/N,Cont Tol.,Recorder,Rec S/N,Rec Tol.,Furnace Specific Comments,Test Location,Oven Location,Condition,PB,Integral,Derivative,Other 1,Other2,Fine Print,Check Rec,Load,Lag Limit,Recovery Limit,,Customers,,AssetPoolId,
504,"VALCO MANUFACTURING CO., INC.",AGE OVEN NO. 2,"VALCO MANUFACTURING CO., INC.AGE OVEN NO. 2",925 BOREN AVE.,"DUNCAN, OK 73533",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Specification,AGE OVEN,GRUENBERG T50HV960,5214,AGE OVEN NO. 2,4C/2C per AMS 2750H,200°F/250°F,±20.0°F/±10.0°F,ELECTRIC PROPORTIONAL,"46"" X 46"" X 45""",55.1,Q,HONEYWELL DR45AT,9739Y732845500001,±2.0°F,HONEYWELL DR45AT,9739Y732845500001,±2.0°F,Tolerances stated are for setpoints of 200°F (±20°F) and 250°F (±10°F) only.,On-Site,PRODUCTION - Tested on Site,Used,3.6,0.7,2.5,cyc 8,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:21:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVERIDGE/ICS,,,
505,"VALCO MANUFACTURING CO., INC.",AGE OVEN NO. 3,"VALCO MANUFACTURING CO., INC.AGE OVEN NO. 3",925 BOREN AVE.,"DUNCAN, OK 73533",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Specification,AGE OVEN,STEELMAN 888 GSP,P170111,AGE OVEN NO. 3,2C per AMS 2750H,250°F/375°F,±10.0°F,GAS PROPORTIONAL,"86.5"" X 98"" X 98""",480.8,Q,HONEYWELL DR45AT,17W11C400003715701,±2.0°F,HONEYWELL DR45AT,17W11C400003715701,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Gain 50,0.45,0.1,cyc 8,out hi 90,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVONIK,,,
506,"VALCO MANUFACTURING CO., INC.",DRAW FURNACE,"VALCO MANUFACTURING CO., INC.DRAW FURNACE",925 BOREN AVE.,"DUNCAN, OK 73533",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Specification,ELECTRIC PIT FURNACE,LINDBERG 3336-E12,18612,DRAW FURNACE,2C/5C per AMS 2750H,225°F-400°F/401°F-800°F,±10.0°F/±25.0°F,ELECTRIC PROPORTIONAL,"34"" DIA X 40"" LENGTH",21,Q,HONEYWELL DR4500,19W31C4000005889951,±2.0°F,HONEYWELL DR4500,19W31C4000005889951,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,2.5,0.15,0.25,cyc 5,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty Rack,0:21:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EW7 Products LLC,,,
507,"VALCO MANUFACTURING CO., INC.",DROP BOTTOM FURNACE,"VALCO MANUFACTURING CO., INC.DROP BOTTOM FURNACE",925 BOREN AVE.,"DUNCAN, OK 73533",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Specification,DROP BOTTOM FURNACE,THERMAL SPECIALTIES FC14730,7280010,DROP BOTTOM FURNACE,2C per AMS 2750H,650°F/1050°F,±10.0°F,ELECTRIC PROPORTIONAL,"102"" X 54"" X 54""",172,Q,HONEYWELL UDC3000,0040Y048197500001,±2.0°F or 0.2% Rdg,HONEYWELL DR45AT,9549Y523706400001,±2.0°F or 0.2% Rdg,,On-Site,PRODUCTION - Tested on Site,Used,2.5,1,2,pct m up 100,pct m dn 1000,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty Rack,0:00:00,0:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXACT FLOW,,,
508,"VALCO MANUFACTURING CO., INC.",S14,"VALCO MANUFACTURING CO., INC.S14",925 BOREN AVE.,"DUNCAN, OK 73533",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,TANK,CUSTOM,RN14736,S14,Unassigned,180°F/200°F,N/A,ELECTRIC,"36"" X 84"" X 54""",94.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,On-Site,PRODUCTION - Tested on Site,Used,,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EXACTA AEROSPACE, INC.",,,
509,"VALCO MANUFACTURING CO., INC.",S16,"VALCO MANUFACTURING CO., INC.S16",925 BOREN AVE.,"DUNCAN, OK 73533",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,METAL CONDITIONER (DEOXIDINE 299),CUSTOM,RN14733,S16,Unassigned,190°F/200°F,N/A,ELECTRIC,"36"" X 84"" X 54""",94.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,On-Site,PRODUCTION - Tested on Site,Used,,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EXACTA AEROSPACE, INC. SOUTH",,,
510,"VALCO MANUFACTURING CO., INC.",S19,"VALCO MANUFACTURING CO., INC.S19",925 BOREN AVE.,"DUNCAN, OK 73533",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,PASSIVATE,CUSTOM,RN14732,S19,Unassigned,120°F/130°F,N/A,ELECTRIC,"36"" X 84"" X 54""",94.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,On-Site,PRODUCTION - Tested on Site,Used,,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXCEL INDUSTRIES,,,
511,"VALCO MANUFACTURING CO., INC.",S22,"VALCO MANUFACTURING CO., INC.S22",925 BOREN AVE.,"DUNCAN, OK 73533",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,SCALE CONDITIONER (TURCO 4316),CUSTOM,RN-D-1504,S22,Unassigned,250°F/270°F,N/A,ELECTRIC,"36"" X 84"" X 36""",63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,On-Site,PRODUCTION - Tested on Site,Used,,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXCEL TOOL & MANUFACTURING,,,
512,"VALCO MANUFACTURING CO., INC.",S23,"VALCO MANUFACTURING CO., INC.S23",925 BOREN AVE.,"DUNCAN, OK 73533",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,HOT RINSE,CUSTOM,RN14729,S23,Unassigned,130°F/140°F,N/A,ELECTRIC,"36"" X 84"" X 54""",94.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,On-Site,PRODUCTION - Tested on Site,Used,,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:21:00,0:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXECUTIVE JET MANAGEMENT,,,
513,"VALCO MANUFACTURING CO., INC.",SALT BATH,"VALCO MANUFACTURING CO., INC.SALT BATH",925 BOREN AVE.,"DUNCAN, OK 73533",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Specification,ALUMINUM HEAT TREAT SALT BATH,SPECIAL,S480-1,SALT BATH,2C per AMS 2750H,870°F/985°F,±10.0°F,ELECTRIC PROPORTIONAL,"140"" X 22"" X 48""",85.6,M,HONEYWELL DC2800,23W36C4000041611412,±2.0°F,HONEYWELL MINITREND,23W38C4000041611410,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Gain 0.1,0.1,0.1,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EXLINE, INC.",,,
514,VERMILLION ENTERPRISES,BAKE OVEN 9110,VERMILLION ENTERPRISESBAKE OVEN 9110,4754 S PALISADE,"WICHITA, KS 67217-4926",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,BAKE OVEN,GRIEVE SB-350,620185,BAKE OVEN 9110,Unassigned,180°F/400°F,±9°F,ELECTRIC PROPORTIONAL,"52"" X 56"" X 26""",43.8,A,Eurotherm P108,PL2231002265,±2°F,N/A,N/A,N/A,,On-Site,PRODUCTION - Tested on Site,Used,1,106,Off,OP.Hi: 80.0%,OP.Lo: 0.0%,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOTIC METALS FORMING COMPANY LLC,,,
515,VERMILLION ENTERPRISES,LAB OVEN 5072,VERMILLION ENTERPRISESLAB OVEN 5072,4754 S PALISADE,"WICHITA, KS 67217-4926",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,LAB OVEN,Quincy Lab Model 20AFE,A2E-00306,LAB OVEN 5072,Unassigned,100°F/350°F,±10°F,ELECTRIC PROPORTIONAL,"11"" X 12"" X 12""",0.92,A,Omron E5GC,5072 Controller,±10°F,N/A,N/A,N/A,Calibrated and certified per manufacturers procedure. Controller capable of maintaining specified tolerance at center of oven (pt 5). Uniformity tolerance & over all uniformity apply to point 5 only. Points 1-4 provided for reference only.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXTECH INC.,,,
516,VERMILLION ENTERPRISES,OVEN NO. 6042,VERMILLION ENTERPRISESOVEN NO. 6042,4754 S PALISADE,"WICHITA, KS 67217-4926",,"JGI WP4100, AMS 2750G","JGI WP4100, AMS 2750H",Customer,Oven No. 6042,Thermoscientific Heratherm,43122353,6042,Unassigned,140°F-400°F,±5°F,ELECTRIC PROPORTIONAL,"13"" X 13"" X 17""",1.663,A,Integral,43122353,±2°F*,N/A,N/A,N/A,*Controller tested by ISC method during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty Shelves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EXTRU-TECH, INC.",,,
517,VERMILLION ENTERPRISES,OVEN NO. 6043,VERMILLION ENTERPRISESOVEN NO. 6043,4754 S PALISADE,"WICHITA, KS 67217-4926",,"JGI WP4100, AMS 2750G","JGI WP4100, AMS 2750H",Customer,Oven No. 6043,Thermoscientific Heratherm,43122366,6043,Unassigned,140°F-400°F,±5°F,ELECTRIC PROPORTIONAL,"13"" X 13"" X 17""",1.663,A,Integral,43122366,±2°F*,N/A,N/A,N/A,*Controller tested by ISC method during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty Shelves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eck Services,,,
518,VERMILLION ENTERPRISES,OVEN NO. 6044,VERMILLION ENTERPRISESOVEN NO. 6044,4754 S PALISADE,"WICHITA, KS 67217-4926",,"JGI WP4100, AMS 2750G","JGI WP4100, AMS 2750H",Customer,Oven No. 6044,Thermoscientific Heratherm,43122354,6044,Unassigned,140°F-400°F,±5°F,ELECTRIC PROPORTIONAL,"13"" X 13"" X 17""",1.663,A,Integral,43122354,±2°F*,N/A,N/A,N/A,*Controller tested by ISC method during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty Shelves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eddy's Body Shop,,,
519,VERMILLION ENTERPRISES,OVEN NO. 6045,VERMILLION ENTERPRISESOVEN NO. 6045,4754 S PALISADE,"WICHITA, KS 67217-4926",,"JGI WP4100, AMS 2750G","JGI WP4100, AMS 2750H",Customer,Oven No. 6045,Thermoscientific Heratherm,43122367,6045,Unassigned,140°F-400°F,±5°F,ELECTRIC PROPORTIONAL,"13"" X 13"" X 17""",1.663,A,Integral,43122367,±2°F*,N/A,N/A,N/A,*Controller tested by ISC method during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty Shelves,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrex Inc,,,
520,"WICHITA AEROSPACE SPARES, INC.",FREEZER NO. 6,"WICHITA AEROSPACE SPARES, INC.FREEZER NO. 6","4626 W. MAY ST., BLDG D","WICHITA, KS 67209",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,WALK IN FREEZER,SP-30,53161,FREEZER NO. 6,Unassigned,40°F MAX,40°F MAX,ELECTRIC,"96"" X 98"" X 120""",653.3,A,FREEZER No.6,FREEZER No.6,Comments*,Web Control,Web Control,±5°F,*Confirmed capability of maintaining specified tolerance.,On-Site,PRODUCTION - Tested on Site,Used,,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,"Fill in ""EMPTY"" or ""__% FULL""",0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emerald City Cargo,,,
521,"WICHITA AEROSPACE SPARES, INC.",OVEN NO.14-0581433,"WICHITA AEROSPACE SPARES, INC.OVEN NO.14-0581433","4626 W. MAY ST., BLDG D","WICHITA, KS 67209",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,Part Assembly Oven,BINDER,CPI30738,Oven No. 14-0581433,Unassigned,40°F/200°F,±14°C,ELECTRIC PROPORTIONAL,"19"" X 31"" X 20""",68,A,Binder Controller*,UNAVAILABLE,±3°F,N/A,N/A,N/A,*Controller verified by ISC method during survey.,On-Site,PRODUCTION - Tested on Site,Used,,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evergreen Landscape and Sprinkler Service,,,
522,"WICHITA AEROSPACE SPARES, INC.",FREEZER A5965401,"WICHITA AEROSPACE SPARES, INC.FREEZER A5965401","4626 W. MAY ST., BLDG D","WICHITA, KS 67209",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,CHEST FREEZER,FRIGIDAIRE GALLERY,A5965401,FREEZER A5965401,Unassigned,40°F MAX,40°F MAX,ELECTRIC,"30""x24""x70""",29.17,A,Frigidaire,A5965401 C,Comments*,N/A,N/A,N/A,*Confirmed capability of maintaining specified tolerance.,On-Site,PRODUCTION - Tested on Site,Used,,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,"Fill in ""EMPTY"" or ""__% FULL""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F & M MACHINE SHOP,,,
523,"WICHITA AEROSPACE SPARES, INC.",FREEZER HF2,"WICHITA AEROSPACE SPARES, INC.FREEZER HF2","4626 W. MAY ST., BLDG D","WICHITA, KS 67209",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,CHEST FREEZER,FRIGIDAIRE GALLERY,HF2,FREEZER HF2,Unassigned,40°F MAX,40°F MAX,ELECTRIC,"30""x24""x70""",29.17,A,Frigidaire,HF2 C,Comments*,N/A,N/A,N/A,*Confirmed capability of maintaining specified tolerance.,On-Site,PRODUCTION - Tested on Site,Used,,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,"Fill in ""EMPTY"" or ""__% FULL""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FACCSI,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAGRON STERILE SERVICES,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIRMOUNT TECHNOLOGIES LLC,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAMILY CARE CENTER,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARRAR CORPORATION - MANHATTAN DIVISION,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARRAR CORPORATION - NORWICH DIVISION,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FASTENAIR, LLC",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FASTENAL,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEDERAL AVIATION ADMIN. HUTCHINSON DIV,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FERRA AEROSPACE INC,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FERROLOY FOUNDRY, INC.",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FERROLOY, INC.",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHR ANALYTICAL SERVICES,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIBER DYNAMICS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIBER GLASS SYSTEMS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIBERGLASS AND COMPOSITES TECHNOLOGY,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIGEAC AERO,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FINEST CUT MILLING,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIRST CAB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FIRST GLOBAL MFG., INC.",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FISHER MANUFACTURING SERVICES,,,
